FullName,Team,GP,W,L,T,TD,PTS,PPG,OPP PTS,OPP PPG,1DWN,3DWN%,4DWN%
Arizona Cardinals,ARZ,251,124,125,2,635,"5,568",22.2,"5,773",23,"4,885",36.4,55.8
Atlanta Falcons,ATL,250,128,122,0,654,"5,875",23.5,"5,779",23.1,"5,237",42.9,49.8
Baltimore Ravens,BLT,250,154,96,0,649,"5,967",23.9,"4,751",19,"5,037",40.2,54.9
Buffalo Bills,BUF,251,118,133,0,590,"5,317",21.2,"5,590",22.3,"4,603",37.2,43.3
Carolina Panthers,CAR,251,123,127,1,609,"5,454",21.7,"5,615",22.4,"4,915",38.3,51
Chicago Bears,CHI,251,124,127,0,604,"5,419",21.6,"5,473",21.8,"4,650",36.6,45.6
Cincinnati Bengals,CIN,250,116,130,4,603,"5,374",21.5,"5,516",22.1,"4,766",38,57.8
Cleveland Browns,CLV,251,82,168,1,509,"4,637",18.5,"5,962",23.8,"4,547",36.1,46.6
Dallas Cowboys,DAL,251,141,110,0,708,"6,192",24.7,"5,637",22.5,"5,256",42.1,55.4
Denver Broncos,DEN,250,131,119,0,638,"5,668",22.7,"5,658",22.6,"5,026",38,46.7
Detroit Lions,DET,251,89,160,2,606,"5,435",21.7,"6,429",25.6,"4,962",37.6,45.5
Green Bay Packers,GB,251,161,88,2,769,"6,528",26,"5,436",21.7,"5,169",42.2,49.6
Houston Texans,HST,250,119,131,0,610,"5,505",22,"5,761",23,"5,004",39.6,52.2
Indianapolis Colts,IND,251,150,101,0,700,"6,115",24.4,"5,665",22.6,"5,310",43.4,52.3
Jacksonville Jaguars,JAX,250,85,165,0,541,"4,842",19.4,"5,961",23.8,"4,659",37.1,48.7
Kansas City Chiefs,KC,251,136,115,0,642,"5,693",22.7,"5,467",21.8,"4,950",38.8,53.1
Las Vegas Raiders,LV,251,93,158,0,532,"4,917",19.6,"6,465",25.8,"4,545",36.3,46.1
Los Angeles Chargers,LAC,250,136,114,0,719,"6,232",24.9,"5,457",21.8,"5,255",43.5,52.7
Los Angeles Rams,LA,250,104,145,1,540,"5,036",20.1,"5,845",23.4,"4,646",35.4,42.2
Miami Dolphins,MIA,251,109,142,0,554,"5,011",20,"5,794",23.1,"4,690",37.1,46.3
Minnesota Vikings,MIN,250,129,119,2,650,"5,738",23,"5,473",21.9,"4,844",38.4,52.2
New England Patriots,NE,251,188,63,0,826,"7,157",28.5,"4,683",18.7,"5,726",43.4,60.3
New Orleans Saints,NO,251,155,96,0,845,"6,998",27.9,"5,808",23.1,"5,661",45.8,56.9
New York Giants,NYG,250,117,133,0,633,"5,603",22.4,"5,888",23.6,"4,880",38.1,46.4
New York Jets,NYJ,250,104,146,0,531,"4,925",19.7,"5,754",23,"4,506",37.5,45.7
Philadelphia Eagles,PHI,251,134,115,2,708,"6,194",24.7,"5,621",22.4,"5,237",40.7,50.9
Pittsburgh Steelers,PIT,250,158,90,2,660,"5,887",23.5,"4,797",19.2,"5,057",41.9,45.6
San Francisco 49ers,SF,250,118,131,1,575,"5,301",21.2,"5,505",22,"4,541",35.5,51.7
Seattle Seahawks,SEA,250,143,106,1,657,"5,785",23.1,"5,092",20.4,"4,813",37.6,51
Tampa Bay Buccaneers,TB,250,102,148,0,617,"5,418",21.7,"6,009",24,"4,833",39.5,46.7
Tennessee Titans,TEN,251,127,124,0,623,"5,489",21.9,"5,763",23,"4,626",38.1,49.1
Washington Football Team,WAS,250,99,150,1,553,"5,053",20.2,"5,906",23.6,"4,775",37.1,47.3
