"","Team","Player","TotalStarts"
"1","ARZ","Carson Palmer",60
"2","ATL","Matt Ryan",205
"3","BLT","Joe Flacco",163
"4","BUF","Ryan Fitzpatrick",53
"5","CAR","Cam Newton",124
"6","CHI","Jay Cutler",102
"7","CIN","Andy Dalton",132
"8","CLV","Baker Mayfield",44
"9","DAL","Tony Romo",127
"10","DEN","Peyton Manning",57
"11","DET","Matthew Stafford",165
"12","GB","Aaron Rodgers",190
"13","HST","Matt Schaub",88
"14","IND","Andrew Luck",85
"15","JAX","Blake Bortles",73
"16","KC","Alex Smith",76
"17","LA","Jared Goff",69
"18","LAC","Philip Rivers",224
"19","LV","Derek Carr",110
"20","MIA","Ryan Tannehill",88
"21","MIN","Kirk Cousins",47
"22","NE","Tom Brady",205
"23","NO","Drew Brees",228
"24","NYG","Eli Manning",211
"25","NYJ","Mark Sanchez",61
"26","PHI","Carson Wentz",68
"27","PIT","Ben Roethlisberger",206
"28","SEA","Russell Wilson",144
"29","SF","Alex Smith",68
"30","TB","Jameis Winston",70
"31","TEN","Marcus Mariota",61
"32","WAS","Kirk Cousins",57
